"46,053",$65.84b,$1.68m,$3.729b,"740,446",2.06m TXs,,,,
"46,054",$61.896b,"648,100",$2.793b,1.17m,2.51m,,,,
"46,055",$59.105b,"969,976",$3.177b,"834,258",2.31m TXs,,,,
"46,056",$59.961b,"829,236",$2.527b,1.03m,2.57m TXs,,,,
"46,057",$59.165b,"795,788",$2.753b,"854,854",2.49m TXs,,,,
"46,058",$57.641b,$3m,$4.341b,"765,958",2.25m TXs,,,,
"46,059",$51.667b,$1.46m,$3.832b,"960,395",2.52m TXs,,,,
"46,060",$54.889b,"616,192",$2.325b,1.17m,2.89m TXs,,,,
"46,061",$56.482b,"293,383",$1.157b,"871,462",2.32m TXs,,,,
"46,062",$56.811b,"411,520",$1.825b,"956,198",2.81m,,,,
"46,063",$56.792b,"298,388",$1.802b,"794,911",2.64m,,,,
"46,064",$55.62b,"676,156",$2.202b,"776,145",2.47m,,,,
"46,065",$54.842b,"402,589",$1.943b,"748,167",2.17m,,,,
"46,066",$54.29b,"319,977",$1.848b,"773,537",2.25m,,,,
"46,067",$55.766b,"209,739",$1.226b,"659,017",1.92m,,,,
"46,068",$54.408b,"284,814",$1.629b,"549,188",1.74m,,,,
"46,069",$54.668b,"258,813",$1.088b,"671,150",2.01m,,,,
"46,070",$54.804b,"332,779",$1.463b,"638,080",1.96m,,,,
"46,071",$54.84b,"310,784",$1.859b,"650,762",2.01m,,,,
"46,072",$53.941b,"285,436",$2.079b,"643,162",2.01m,,,,
"46,073",$53.966b,"317,814",$1.949b,"586,256",1.87m,,,,
"46,074",$53.667b,"193,804",$1.067b,"557,786",1.68m,,,,
"46,075",$53.82b,"171,218",$1.526b,"547,260",1.72m,,,,
"46,076",$53.812b,"286,438",$1.701b,"701,419",2.01m,,,,
"46,077",$52.253b,"328,508",$1.756b,"655,058",2.07m,,,,
"46,078",$52.027b,"509,606",$2.065b,"952,126",2.33m,,,,
"46,079",$54.884b,"392,452",$1.760b,"714,991",2.14m,,,,
"46,080",$54.532b,"335,399",$1.485b,"661,812",2.06m,,,,
"46,081",$53.087b,"375,232",$1.356b,"691,271",2.03m,,,,
"46,084",$54.326b,"445,055",$1.897b,"679,290",2.05m,,,,
"46,085",$53.212b,"634,179",$2.1b,"668,895",2m,,,,
"46,086",$55.778b,"377,639",$1.722b,"762,928",2.17m,,,,
"46,087",$56.016b,"325,119",$1.277b,"743,486",2.08m,,,,
"46,088",$54.324b,"178,520",$1.076b,"619,628",1.91m,,,,
"46,089",$54.72b,"211,847",$1.026b,"520,241",1.72m,,,,
"46,090",$53.751b,"315,803",$1.739b,"690,747",2.11m,,,,
"46,091",$54.777b,"320,403",$1.892b,"775,867",2.24m,,,,
"46,092",$54.753b,"306,879",$983.13m,"752,457",2.15m,,,,
"46,093",$55.633b,"504,900",$1.979b,"834,454",2.21m,,,,
"46,094",$56.848b,"422,513",$2.081b,"722,625",2.19m,,,,
"46,095",$56.309b,"176,222",$517.13m,"795,162",2.01m,,,,
"46,096",$56.638b,"211,114",$948.12m,"561,586",1.76m,,,,
"46,097",$57.883b,"447,905",$1.61b,"650,005",2.19m,,,,
"46,098",$59.694b,"307,688",$1.356b,"694,154",2.47m,,,,
"46,099",$59.522b,"311,631",$1.374b,"880,163",2.64m,,,,
"46,100",$56.919b,"312,733",$1.446b,1.01m,2.68m,,,,
"46,101",$55.585b,"267,338",$1.366b,"658,211",2.45m,,,,
"46,102",$56.347b,"135,014",$680.42m,"566,469",2.18m,,,,
"46,103",$55.862b,"712,759",$1.6b,"489,600",1.89m,,,,
"46,104",$54.837b,"476,690",$1.663b,"648,045",2.53m,,,,
"46,105",$56.254b,"289,747",$904.37m,"680,777",2.59m,,,,
"46,106",$55.761b,"257,734",$1.064b,"605,542",2.09m,,,,
"46,107",$56.12b,"394,355",$1.009b,"651,374",2.48m,,,,
"46,108",$54.093b,"364,514",$1.234b,"554,910",2.69m,,,,
"46,109",$52.69b,"203,394",$609.89m,"509,477",2.52m,,,,
"46,110",$52.678b,"218,934",$765.41m,"436,925",1.83m,,,,
"46,111",$52.592b,"281,891",$1.073b,"623,236",2.3m TXs,,,,
"46,112",$52.492b,"395,036",$1.17b,"777,536",2.64m TXs,,,,
,,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Solana chain,,,,,
"46,023",$8.273b,"501,380",$2.532b,,,,,,
"46,024",$9.195b,"726,198",$4.085b,,,,,,
"46,025",$8.614b,"732,344",$3.948b,,,,,,
"46,026",$8.693b,"685,564",$4.269b,,,,,,
"46,027",$8.778b,"785,431",$5.284b,,,,,,
"46,028",$8.984b,$1.04m,$5.164b,,,,,,
"46,029",$9.077b,"816,836",$4.519b,,,,,,
"46,030",$8.86b,"867,075",$3.046b,,,,,,
"46,031",$8.923b,"819,358",$2.659b,,,,,,
"46,032",$8.828b,"754,229",$1.312b,,,,,,
"46,033",$8.837b,"751,892",$2.814b,,,,,,
"46,034",$8.984b,$1m,$2.596b,,,,,,
"46,035",$8.833b,$1.08m,$2.544b,,,,,,
"46,036",$9.188b,$1.03m,$3.711b,,,,,,
"46,037",$9.216b,$1.02m,$4.124b,,,,,,
"46,038",$9.035b,$1.35m,$3.523b,,,,,,
"46,039",$9.158b,"870,287",$2.472b,,,,,,
"46,040",$9.114b,"857,448",$2.628b,,,,,,
"46,041",$8.795b,"925,780",$3.524b,,,,,,
"46,042",$8.735b,"901,897",$4.718b,,,,,,
"46,043",$8.417b,"889,449",$5.67b,,,,,,
"46,044",$8.512b,"945,075",$5.104b,,,,,,
"46,045",$8.327b,"864,292",$4.582b,,,,,,
"46,046",$8.291b,$1.01m,$2.92b,,,,,,
"46,047",$8.28b,$1.23m,$3.507b,,,,,,
"46,048",$7.879b,$1.4m,$4.074b,,,,,,
"46,049",$8.242b,$1.39m,$4.562b,,,,,,
"46,050",$8.339b,$1.17m,$3.92b,,,,,,
"46,051",$8.575b,$1.11m,$3.863b,,,,,,
"46,052",$9.346b,$1.4m,$5.008b,,,,,,
"46,053",$9.269b,$1.02m,$4.96b,,,,,,
"46,054",$7.555b,"791,055",$4.943b,,,,,,
"46,055",$7.408b,"897,112",$1.784b,,,,,,
"46,056",$7.487b,"878,891",$1.653b,,,,,,
"46,057",$7.247b,"842,875",$1.935b,,,,,,
"46,058",$6.973b,"773,998",$2.361b,,,,,,
"46,059",$6.128b,"959,463",$1.87b,,,,,,
"46,060",$6.428b,"742,765",$1.275b,,,,,,
"46,061",$6.476b,"677,545",$1.216b,,,,,,
"46,062",$6.487b,"717,391",$3.679b,,,,,,
"46,063",$6.464b,"709,044",$3.784b,,,,,,
"46,064",$6.339b,"677,411",$3.803b,,,,,,
"46,065",$6.336b,"621,768",$3.193b,,,,,,
"46,066",$6.295b,"683,507",$3.17b,,,,,,
"46,067",$6.591b,"569,992",$2.403b,,,,,,
"46,068",$6.633b,"599,197",$2.688b,,,,,,
"46,069",$6.612b,"654,483",$2.725b,,,,,,
"46,070",$6.629b,"932,163",$2.67b,,,,,,
"46,071",$6.572b,"766,492",$2.628b,,,,,,
"46,072",$6.426b,"656,518",$2.465b,,,,,,
"46,073",$6.443b,"753,076",$2.317b,,,,,,
"46,074",$6.537b,"637,509",$1.456b,,,,,,
"46,075",$6.509b,"650,348",$1.456b,,,,,,
"46,076",$6.381b,"707,122",$2.737b,,,,,,
"46,078",$6.26b,"824,956",$2.481b,,,,,,
"46,079",$6.588b,"722,706",$2.43b,,,,,,
"46,081",$6.456b,"743,545",$3.058b,,,,,,
"46,084",$6.698b,"671,420",$2.567b,,,,,,
"46,085",$6.592b,"769,321",$2.816b,,,,,,
"46,086",$6.884b,"655,619",$2.579b,,,,,,
"46,087",$6.762b,"706,432",$2.509b,,,,,,
"46,088",$6.602b,"566,278",$969.91m,,,,,,
"46,089",$6.545b,"578,016",$1.832b,,,,,,
"46,090",$6.392b,"670,102",$2.353b,,,,,,
"46,091",$6.638b,"652,881",$2.298b,,,,,,
"46,092",$6.59b,"708,010",$2.246b,,,,,,
"46,093",$6.671b,"698,408",$2.195b,,,,,,
"46,094",$6.91b,"685,910",$2.88b,,,,,,
"46,095",$6.845b,"574,334",$1.811b,,,,,,
"46,096",$7.011b,"601,926",$2.168b,,,,,,
"46,097",$7.137b,"741,450",$2.211b,,,,,,
"46,098",$7.262b,"647,176",$2.032b,,,,,,
"46,099",$7.01b,"539,437",$2.226b,,,,,,
"46,100",$6.931b,"537,106",$1.692b,,,,,,
"46,101",$6.856b,"518,138",$1.612b,,,,,,
"46,102",$6.89b,"452,516",$1.057b,,,,,,
"46,103",$6.768b,"443,083",$1.375b,,,,,,
"46,104",$6.665b,"621,301",$2.651b,,,,,,
"46,106",$6.653b,"627,930",$1.598b,,,,,,
"46,107",$6.67b,"561,528",$1.597b,,,,,,
"46,109",$6.402b,"432,134",$1.075b,,,,,,
"46,110",$6.35b,"422,753",$1.265b,,,,,,
"46,111",$6.192b,"825,310",$1.998b,,,,,,
"46,112",$6.164b,"558,163",$1.963b,,,,,,
,,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Active Addresses,Transactions,BSC Chain,,
"46,023",$6.602b,"341,503",$1.347b,$491.25m,2.2m,13.36m TXs,,,
"46,024",$6.632b,"342,420",$1.156b,$464.89m,2.47m,13.73m TXs,,,
"46,025",$6.742b,"343,773",$855.21m,$289.56m,2.54m,13.86m TXs,,,
"46,026",$6.731b,"436,197",$898.4m,$508.67m,2.48m,13.52m TXs,,,
"46,027",$6.813b,"409,279",$1.214b,$510.53m,2.66m,14.38m TXs,,,
"46,028",$6.907b,"441,151",$1.213b,$502.8m,2.64m,14.19m TXs,,,
"46,029",$6.868b,"406,016",$1.193b,$569.09m,2.96m,15.43m TXs,,,
"46,030",$6.823b,"386,064",$1.142b,$572.01m,2.67m,14.7m TXs,,,
"46,031",$6.785b,"638,194",$1.235b,$557.4m,2.66m,15.08m TXs,,,
"46,032",$6.836b,"973,305",$1.252b,$285.07m,2.54m,17.52m TXs,,,
"46,033",$6.891b,$1.21m,$1.26b,$403.12m,2.36m,17.3m TXs,,,
"46,034",$6.889b,$1m,$1.42b,$523.42m,2.73m,17.64m TXs,,,
"46,035",$6.919b,"819,862",$1.604b,$575.52m,2.73m,16.52m TXs,,,
"46,036",$7.196b,$1.07m,$1.995b,$516.82m,2.76m,18.62m TXs,,,
"46,037",$7.182b,"858,184",$1.654b,$416.58m,2.95m,18.04m TXs,,,
"46,038",$7.102b,"520,616",$1.746b,$518.25m,2.85m,16.5m TXs,,,
"46,039",$7.112b,"430,065",$1.929b,$580.86m,2.99m,15.48m TXs,,,
"46,040",$7.17b,"601,756",$1.33b,$504.11m,2.71m,16.45m TXs,,,
"46,041",$6.985b,"715,493",$2.036b,$523.62m,3.31m,17.86m TXs,,,
"46,042",$7.017b,"712,358",$3.177b,$515.77m,2.97m,18.22m TXs,,,
"46,043",$6.752b,$1.26m,$3.739b,$557.04m,2.56m,19.68m TXs,,,
"46,044",$6.802b,$1.13m,$2.194b,$459.5m,2.5m,18.57m TXs,,,
"46,045",$6.811b,$1.02m,$2.204b,$540.8m,2.56m,18.98m TXs,,,
"46,046",$6.801b,"705,927",$1.692b,$436.59m,2.39m,16.19m TXs,,,
"46,047",$6.8b,"416,756",$1.679b,$479.97m,2.7m,15.54m TXs,,,
"46,048",$6.65b,"466,215",$1.643b,$444.75m,2.64m,17.09m TXs,,,
"46,049",$6.75b,"499,622",$1.624b,$345.94m,2.63m,16.03m TXs,,,
"46,050",$6.835b,"477,852",$1.681b,$449.52m,2.67m,16.44m TXs,,,
"46,051",$6.845b,"526,791",$1.409b,$519.3m,3.38m,18.5m TXs,,,
"46,052",$6.593b,"629,239",$2.045b,$418.7m,2.77m,16.71m TXs,,,
"46,053",$6.616b,"449,590",$1.693b,$303.01m,2.67m,16.38m TXs,,,
"46,054",$6.185b,"408,419",$1.428b,$317.66m,2.62m,15.93m,,,
"46,055",$6.07b,"556,469",$1.655b,$335.39m,3.14m,17.07m TXs,,,
"46,056",$6.173b,"445,942",$2.038b,$27.88m,3.24m,16.89m TXs,,,
"46,057",$6.048b,"415,402",$2.336b,$29.77m,3.23m,17.09m TXs,,,
"46,058",$5.761b,"415,256",$2.868b,$329.08m,3.39m,19.69m TXs,,,
"46,059",$5.107b,"387,565",$2.393b,$334.51m,3.26m,17.98m TXs,,,
"46,060",$5.542b,"264,818",$1.726b,$300.03m,2.88m,14.7m TXs,,,
"46,061",$5.514b,"210,408",$1.393b,$288.98m,2.82m,14.03m TXs,,,
"46,062",$5.546b,"279,941",$1.448b,$296.84m,3.02m,15.84m,,,
"46,063",$5.538b,"313,457",$1.224b,$290.67m,3.26m,16.89m,,,
"46,064",$5.461b,"346,439",$1.368b,$284.24m,3.14m,17.53m,,,
"46,065",$5.421b,"254,505",$1.3b,$294.92m,3.01m,16.18m,,,
"46,066",$5.629b,"343,142",$1.418b,$293.6m,2.84m,15.49m,,,
"46,067",$5.755b,"252,541",$537.58m,$280.99m,2.7m,14.55m,,,
"46,068",$5.766b,"245,528",$503.62m,$280.67m,2.56m,15.09m,,,
"46,069",5.791b,"337,179",868.2m,290.85m,2.53m,14.42m,,,
"46,070",5.829b,"190,697",847.42m,288.47m,2.39m,12.28m,,,
"46,071",5.767b,"190,194",771.66m,261.11m,2.41m,12.97m,,,
"46,072",5.661b,"208,672",889.79m,285.84m,2.54m,12.92m,,,
"46,073",5.617b,"200,047",1.06b,290.4m,2.46m,13.19m,,,
"46,074",5.696b,"193,370",764.7m,282.29m,2.49m,12.56m,,,
"46,075",5.684b,"162,107",720.92m,264.38m,2.61m,12.46m,,,
"46,076",$5.647b,"226,813",$1.344b,$372.66m,2.69m,14.34m,,,
"46,077",$5.44b,"281,564",$1.277b,$323.56m,2.75m,14.56m,,,
"46,078",$5.406b,"281,380",$971.92m,$347.22m,2.7m,14.37m,,,
"46,079",$5.707b,"253,681",$975.19m,$675.89m,2.61m,14.37m,,,
"46,080",$5.631b,"296,197",$691.42m,$317.88m,2.63m,14.74m,,,
"46,081",$5.568b,"370,111",$1.339b,$384.98m,2.58m,14.46m,,,
"46,082",$5.681b,"246,719",$1.117b,$374.81m,2.68m,14.98m TXs,,,
"46,083",$5.674b,"306,798",$1.245b,$180.73m,2.7m,16.03m,,,
"46,084",$5.617b,"306,546",$1.022b,$262.75m,2.63m,14.82m,,,
"46,085",$5.639b,"366,856",$1.135b,$289.92m,2.82m,15.18m,,,
"46,086",$5.957b,"301,329",$1.012b,$283.26m,2.92m,15.8m,,,
"46,087",$5.969b,"247,982",$1.007b,$276.11m,2.68m,14.36m,,,
"46,088",$5.849b,"207,032",$645.38m,$257.06m,2.41m,12.84m,,,
"46,089",$5.808b,"210,956",$842.16m,$255.24m,2.33m,12.53m,,,
"46,090",$5.753b,"277,306",$1.051b,$276.7m,2.61m,14.63m,,,
"46,091",$5.849b,"364,275",$988.53m,$267.43m,2.7m,16.21m,,,
"46,092",$5.919b,"456,054",$1.03b,$264.76m,2.78m,15.38m,,,
"46,093",$5.89b,"402,435",$928.95m,$271.08m,2.81m,15.39m,,,
"46,094",$5.806b,"411,818",$1.047b,$274.33m,2.98m,16.51m,,,
"46,095",$5.798b,"291,951",$656.88m,$6.74m,2.48m,12.62m,,,
"46,096",$5.814b,"755,309",$944.37m,$262.07m,2.52m,13.88m,,,
"46,097",$5.875b,"351,283",$1.149b,$281.91m,2.94m,16.1m,,,
"46,098",$5.957b,"429,271",$950.32m,$266.09m,2.82m,16.5m,,,
"46,099",$5.891b,"364,822",$974.95m,$259.9m,2.68m,15.56m,,,
"46,100",$5.762b,"343,523",$819.69m,$259.98m,2.72m,15.49m,,,
"46,101",$5.707b,"334,850",$839.54m,$262.86m,2.6m,15.78m,,,
"46,102",$5.748b,"230,588",$560.99m,$250.41m,2.37m,12.89m,,,
"46,103",$5.679b,"304,731",$1.057b,$251.02m,2.52m,14.72m,,,
"46,104",$5.387B,"495,139",$1.555B,$321.23M,2.62M,15.76M,,,
"46,105",$5.45B,"412,182",$843.74M,$287.88M,2.53M,14.82M,,,
"46,106",$5.475B,"325,377",$851.79M,$264.87M,2.67M,16.01M,,,
"46,107",$5.521B,"289,990",$826.61M,$261.94M,2.56M,15.40M,,,
"46,108",$5.372B,"268,617",$893.84M,$267.67M,2.88M,15.72M,,,
"46,109",$5.257B,"231,722",$784.16M,$257.52M,2.42M,13.52M,,,
"46,110",$5.266B,"255,807",$795.61M,$262.88M,2.36M,14.28M,,,
"46,111",$5.25b,"373,521",$981.57m,$269.94m,2.93m,15.38m TXs,,,
"46,112",$5.349b,"417,524",$892.07m,$283.67m,2.87m,15.57m TXs,,,
,,,,,,,,,
Date,TVL,Chain Fees,Token Mcap,Bitcoin Chain,,,,,
"46,023",$6.798b,"197,845",$1.748t,,,,,,
"46,024",$6.874b,"242,211",$1.771t,,,,,,
"46,025",$6.992b,"238,613",$1.796t,,,,,,
"46,026",$7.074b,"223,256",$1.809t,,,,,,
"46,027",$7.125b,"260,835",$1.825t,,,,,,
"46,028",$7.268b,"256,262",$1.877t,,,,,,
"46,029",$7.212b,"237,292",$1.87t,,,,,,
"46,030",$7.028b,"230,037",$1.822t,,,,,,
"46,031",$6.98b,"236,387",$1.817t,,,,,,
"46,032",$6.982b,"184,176",$1.808t,,,,,,
"46,033",$6.965b,"175,197",$1.806t,,,,,,
"46,034",$6.999b,"216,019",$1.814t,,,,,,
"46,035",$7.025b,"281,659",$1.821t,,,,,,
"46,036",$7.384b,"296,478",$1.902t,,,,,,
"46,037",$7.475b,"311,058",$1.938t,,,,,,
"46,038",$7.399b,"316,356",$1.909t,,,,,,
"46,039",$7.397b,"222,635",$1.908t,,,,,,
"46,040",$7.369b,"172,168",$1.9t,,,,,,
"46,041",$7.16b,"211,469",$1.875t,,,,,,
"46,042",$7.149b,"243,894",$1.849t,,,,,,
"46,043",$6.818b,"241,494",$1.764t,,,,,,
"46,044",$6.935b,"205,228",$1.785t,,,,,,
"46,045",$6.909b,"225,009",$1.787t,,,,,,
"46,046",$6.907b,"179,494",$1.786t,,,,,,
"46,047",$6.876b,"168,664",$1.782t,,,,,,
"46,048",$6.698b,"210,368",$1.731t,,,,,,
"46,049",$6.648b,"205,152",$1.765t,,,,,,
"46,050",$6.619b,"254,107",$1.783t,,,,,,
"46,051",$6.601b,"228,693",$1.781t,,,,,,
"46,052",$6.254b,"281,133",$1.69t,,,,,,
"46,053",$6.239b,N/A,$1.681t,,,,,,
"46,054",$5.892b,"195,866",$1.574t,,,,,,
"46,055",$5.788b,"263,688",$1.538t,,,,,,
"46,056",$5.879b,"243,024",$1.573t,,,,,,
"46,057",$5.605b,"233,933",$1.512t,,,,,,
"46,058",$5.478b,"359,470",$1.464t,,,,,,
"46,059",$4.572b,"435,153",$1.262t,,,,,,
"46,060",$5.281b,"191,646",$1.41t,,,,,,
"46,061",$5.187b,"157,050",$1.386t,,,,,,
"46,062",$5.336b,"204,936",$1.412t,,,,,,
"46,063",$5.304b,"179,110",$1.401t,,,,,,
"46,064",$5.205b,"198,124",$1.374t,,,,,,
"46,065",$5.089b,"168,932",$1.338t,,,,,,
"46,066",$5.019b,"190,425",$1.323t,,,,,,
"46,067",$5.21b,"151,961",$1.376t,,,,,,
"46,068",$5.153b,"126,887",$1.395t,,,,,,
"46,069",$5.182b,"153,132",$1.374t,,,,,,
"46,070",$5.184b,"153,695",$1.377t,,,,,,
"46,071",$5.052b,"153,378",$1.349t,,,,,,
"46,072",$4.969b,"158,689",$1.328t,,,,,,
"46,073",$5.024b,"175,982",$1.338t,,,,,,
"46,074",$5.076b,"147,150",$1.359t,,,,,,
"46,075",$5.086b,"126,371",$1.359t,,,,,,
"46,076",$4.5b,"166,817",$1.351t,,,,,,
"46,077",$4.3b,"178,573",$1.291t,,,,,,
"46,078",$4.26b,"198,057",$1.281t,,,,,,
"46,079",$4.523b,"231,320",$1.358t,,,,,,
"46,080",$4.432b,"198,875",$1.349t,,,,,,
"46,081",$4.355b,"171,953",$1.318t,,,,,,
"46,082",$4.352b,"168,998",$1.34t,,,,,,
"46,083",$4.292b,"183,785",$1.314t,,,,,,
"46,084",$4.499b,"184,648",$1.378t,,,,,,
"46,085",$4.449b,"220,504",$1.367t,,,,,,
"46,086",$4.709b,"195,354",$1.453t,,,,,,
"46,087",$4.578b,"199,746",$1.418t,,,,,,
"46,088",$4.405b,"148,713",$1.364t,,,,,,
"46,089",$4.382b,"130,876",$1.345t,,,,,,
"46,090",$4.334b,"174,111",$1.322t,,,,,,
"46,091",$4.432b,"188,613",$1.37t,,,,,,
"46,092",$4.493b,"195,460",$1.398t,,,,,,
"46,093",$2.883b,"192,663",$1.405t,,,,,,
"46,094",$2.967b,"237,327",$1.411t,,,,,,
"46,095",$2.916b,"145,968",$1.419t,,,,,,
"46,096",$2.947b,"143,319",$1.425t,,,,,,
"46,097",$3.006b,"187,575",$1.454t,,,,,,
"46,098",$3.107b,"229,093",$1.497t,,,,,,
"46,099",$3.063b,"189,967",$1.479t,,,,,,
"46,100",$2.952b,"206,906",$1.425t,,,,,,
"46,101",$2.911b,"191,593",$1.397t,,,,,,
"46,102",$2.931b,"188,884",$1.412t,,,,,,
"46,103",$2.843b,"142,391",$1.381t,,,,,,
"46,104",$2.819b,"171,025",$1.357t,,,,,,
"46,105",$3.292b,"175,743",$1.418t,,,,,,
"46,106",$4.065b,"188,626",$1.411t,,,,,,
"46,107",$4.423b,"164,781",$1.427t,,,,,,
"46,108",$4.501b,"177,136",$1.376t,,,,,,
"46,109",$4.351b,"123,786",$1.326t,,,,,,
"46,110",$4.49b,"108,820",$1.327t,,,,,,
"46,111",$4.466b,"170,301",$1.32t,,,,,,
"46,112",$4.541b,"167,574",$1.335t,,,,,,
,,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions,Tron Chain
"46,023",$4.396b,"694,139",$41.08m,$69.09m,$26.927b,$82.171b,2.8m,9.7m TXs,
"46,024",$4.431b,"845,026",$50.88m,$110.98m,$27.117b,$82.055b,2.78m,10.03m TXs,
"46,025",$4.519b,"696,257",$45.56m,$162.81m,$27.336b,$82.051b,2.79m,9.85m TXs,
"46,026",$4.66b,"674,167",$37.92m,$94.39m,$27.952b,$81.818b,2.78m,9.78m TXs,
"46,027",$4.68b,$1.12m,$60.81m,$131.96m,$27.823b,$81.85b,3.2m,11.23m TXs,
"46,028",$4.72b,$1.07m,$46.74m,$243.03m,$27.662b,$81.797b,3.24m,11.35m TXs,
"46,029",$4.693b,$1.01m,$79.08m,$408.68m,$27.841b,$81.462b,3.24m,11.22m TXs,
"46,030",$4.643b,"961,422",$60.85m,$395.57m,$28.204b,$81.484b,3.34m,11.36m TXs,
"46,031",$4.602b,"933,943",$70.29m,$363.62m,$27.907b,$81.426b,3.2m,10.94m TXs,
"46,032",$4.572b,"713,613",$40.55m,$308.8m,$28.201b,$82.88b,2.77m,9.68m TXs,
"46,033",$4.589b,"649,150",$57.94m,$273.44m,$28.569b,$82.886b,2.58m,9.42m TXs,
"46,034",$4.618b,$1.08m,$45.03m,$356.46m,$28.328b,$82.845b,2.9m,10.95m TXs,
"46,035",$4.597b,$1.07m,$74.91m,$330.17m,$28.366b,$82.797b,2.85m,10.79m TXs,
"46,036",$4.686b,$1.08m,$64.16m,$206.08m,$29.078b,$82.887b,3.2m,11.26m TXs,
"46,037",$4.713b,$1.2m,$84.32m,$172.94m,$28.839b,$82.852b,3.76m,12.28m TXs,
"46,038",$4.726b,$1.11m,$57.84m,$124.87m,$29.527b,$82.912b,3.39m,11.77m TXs,
"46,039",$4.676b,"796,240",$52.5m,$84.51m,$29.286b,$82.902b,3.15m,10.41m TXs,
"46,040",$5.092b,"679,922",$59.99m,$63.09m,$30.159b,$83.053b,3.26m,10.35m TXs,
"46,041",$5.09b,$1.03m,$87.05m,$157.47m,$30.161b,$83.308b,3.47m,11.7m TXs,
"46,042",$5b,$1.09m,$96.32m,$83.34m,$29.536b,$83.336b,3.47m,11.99m TXs,
"46,043",$4.743b,$1.03m,$96.13m,$121.11m,$28.126b,$84.638b,3.45m,11.7m TXs,
"46,044",$4.777b,"965,239",$72.42m,$189.38m,$28.327b,$84.446b,3.4m,11.5m TXs,
"46,045",$4.786b,"918,805",$90.89m,$397.32m,$28.898b,$84.422b,3.38m,11.36m TXs,
"46,046",$4.732b,"637,109",$46.39m,$323.15m,$28.159b,$84.401b,3.4m,10.48m TXs,
"46,047",$4.754b,"631,071",$42.43m,$293.6m,$27.948b,$84.441b,3.34m,10.47m TXs,
"46,048",$4.682b,$1.03m,$62.18m,$433.54m,$27.966b,$84.455b,3.75m,12.14m TXs,
"46,049",$4.732b,$1.03m,$39.11m,$376.76m,$28.088b,$84.408b,3.71m,11.94m TXs,
"46,050",$4.794b,$1.09m,$73.05m,$434.54m,$27.873b,$84.41b,3.59m,11.7m TXs,
"46,051",$4.766b,$1.23m,$84.79m,$382.95m,$27.94b,$84.558b,3.48m,11.9m TXs,
"46,052",$4.631b,$1.21m,$90.94m,$160.13m,$27.896b,$84.506b,3.29m,11.45m TXs,
"46,053",$4.595b,"831,819",$68.68m,$132.71m,$27.818b,$84.564b,3.41m,11.23m TXs,
"46,054",$4.37b,"757,285",$57.03m,$202.64m,$27.119b,$84.29b,3.44m,11.18m,
